Gene Names,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein families
SOD2,acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure ; cellular response to ethanol ; cellular response to oxidative stress ; detection of oxygen ; erythrophore differentiation ; glutathione metabolic process ; heart development ; hemopoiesis ; hydrogen peroxide biosynthetic process ; intracellular oxygen homeostasis ; intrinsic apoptotic signaling pathway in response to DNA damage ; intrinsic apoptotic signaling pathway in response to oxidative stress ; liver development ; locomotory behavior ; multicellular organismal-level iron ion homeostasis ; negative regulation of cell population proliferation ; negative regulation of fat cell differentiation ; negative regulation of fibroblast proliferation ; negative regulation of membrane hyperpolarization ; negative regulation of neuron apoptotic process ; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway ; negative regulation of vascular associated smooth muscle cell proliferation ; neuron development ; positive regulation of cell migration ; positive regulation of hydrogen peroxide biosynthetic process ; positive regulation of nitric oxide biosynthetic process ; positive regulation of vascular associated smooth muscle cell apoptotic process ; positive regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching ; post-embryonic development ; protein homotetramerization ; regulation of blood pressure ; regulation of mitochondrial membrane potential ; regulation of transcription by RNA polymerase II ; release of cytochrome c from mitochondria ; removal of superoxide radicals ; respiratory electron transport chain ; response to activity ; response to axon injury ; response to cadmium ion ; response to electrical stimulus ; response to gamma radiation ; response to hydrogen peroxide ; response to hyperoxia ; response to hypoxia ; response to immobilization stress ; response to isolation stress ; response to L-ascorbic acid ; response to lipopolysaccharide ; response to magnetism ; response to manganese ion ; response to selenium ion ; response to silicon dioxide ; response to superoxide ; response to xenobiotic stimulus ; response to zinc ion ; superoxide anion generation ; superoxide metabolic process ,extracellular exosome ; mitochondrial matrix ; mitochondrial nucleoid ; mitochondrion ,DNA binding ; enzyme binding ; identical protein binding ; manganese ion binding ; oxygen binding ; superoxide dismutase activity ,Iron/manganese superoxide dismutase family
SOD3,removal of superoxide radicals ; response to hypoxia ,collagen-containing extracellular matrix ; extracellular exosome ; extracellular region ; extracellular space ; Golgi lumen ,copper ion binding ; heparin binding ; molecular adaptor activity ; superoxide dismutase activity ,Cu-Zn superoxide dismutase family
MTCL2,cell division ; chromosome segregation ; insulin receptor signaling pathway ; negative regulation of gluconeogenesis ; regulation of autophagy ,extracellular exosome ; extracellular space ; Golgi membrane ; microtubule ; midbody ,,MTCL family
C20orf117,cell division ; chromosome segregation ; insulin receptor signaling pathway ; negative regulation of gluconeogenesis ; regulation of autophagy ,extracellular exosome ; extracellular space ; Golgi membrane ; microtubule ; midbody ,,MTCL family
KIAA0889,cell division ; chromosome segregation ; insulin receptor signaling pathway ; negative regulation of gluconeogenesis ; regulation of autophagy ,extracellular exosome ; extracellular space ; Golgi membrane ; microtubule ; midbody ,,MTCL family
SOGA,cell division ; chromosome segregation ; insulin receptor signaling pathway ; negative regulation of gluconeogenesis ; regulation of autophagy ,extracellular exosome ; extracellular space ; Golgi membrane ; microtubule ; midbody ,,MTCL family
SOGA1,cell division ; chromosome segregation ; insulin receptor signaling pathway ; negative regulation of gluconeogenesis ; regulation of autophagy ,extracellular exosome ; extracellular space ; Golgi membrane ; microtubule ; midbody ,,MTCL family
MTCL3,regulation of autophagy ,extracellular space ; membrane ,,MTCL family
C6orf174,regulation of autophagy ,extracellular space ; membrane ,,MTCL family
SOGA3,regulation of autophagy ,extracellular space ; membrane ,,MTCL family
SOHLH1,cell differentiation ; oocyte differentiation ; spermatogenesis ,chromatin ; cytoplasm ; nucleus ,"DNA-binding transcription factor activity, RNA polymerase II-specific ; protein heterodimerization activity ; protein homodimerization activity ; transcription cis-regulatory region binding ",
C9orf157,cell differentiation ; oocyte differentiation ; spermatogenesis ,chromatin ; cytoplasm ; nucleus ,"DNA-binding transcription factor activity, RNA polymerase II-specific ; protein heterodimerization activity ; protein homodimerization activity ; transcription cis-regulatory region binding ",
NOHLH,cell differentiation ; oocyte differentiation ; spermatogenesis ,chromatin ; cytoplasm ; nucleus ,"DNA-binding transcription factor activity, RNA polymerase II-specific ; protein heterodimerization activity ; protein homodimerization activity ; transcription cis-regulatory region binding ",
TEB2,cell differentiation ; oocyte differentiation ; spermatogenesis ,chromatin ; cytoplasm ; nucleus ,"DNA-binding transcription factor activity, RNA polymerase II-specific ; protein heterodimerization activity ; protein homodimerization activity ; transcription cis-regulatory region binding ",
SOHLH2,cell differentiation ; oocyte differentiation ; regulation of transcription by RNA polymerase II ; spermatogenesis ,chromatin ; cytoplasm ; nucleus ,"DNA-binding transcription factor activity, RNA polymerase II-specific ; protein heterodimerization activity ; protein homodimerization activity ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",
TEB1,cell differentiation ; oocyte differentiation ; regulation of transcription by RNA polymerase II ; spermatogenesis ,chromatin ; cytoplasm ; nucleus ,"DNA-binding transcription factor activity, RNA polymerase II-specific ; protein heterodimerization activity ; protein homodimerization activity ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",
SON,"microtubule cytoskeleton organization ; mitotic cytokinesis ; mRNA processing ; negative regulation of apoptotic process ; regulation of cell cycle ; regulation of mRNA splicing, via spliceosome ; regulation of RNA splicing ; RNA splicing ",nuclear speck ,DNA binding ; RNA binding ,
C21orf50,"microtubule cytoskeleton organization ; mitotic cytokinesis ; mRNA processing ; negative regulation of apoptotic process ; regulation of cell cycle ; regulation of mRNA splicing, via spliceosome ; regulation of RNA splicing ; RNA splicing ",nuclear speck ,DNA binding ; RNA binding ,
DBP5,"microtubule cytoskeleton organization ; mitotic cytokinesis ; mRNA processing ; negative regulation of apoptotic process ; regulation of cell cycle ; regulation of mRNA splicing, via spliceosome ; regulation of RNA splicing ; RNA splicing ",nuclear speck ,DNA binding ; RNA binding ,
KIAA1019,"microtubule cytoskeleton organization ; mitotic cytokinesis ; mRNA processing ; negative regulation of apoptotic process ; regulation of cell cycle ; regulation of mRNA splicing, via spliceosome ; regulation of RNA splicing ; RNA splicing ",nuclear speck ,DNA binding ; RNA binding ,
NREBP,"microtubule cytoskeleton organization ; mitotic cytokinesis ; mRNA processing ; negative regulation of apoptotic process ; regulation of cell cycle ; regulation of mRNA splicing, via spliceosome ; regulation of RNA splicing ; RNA splicing ",nuclear speck ,DNA binding ; RNA binding ,
HSPC310,"microtubule cytoskeleton organization ; mitotic cytokinesis ; mRNA processing ; negative regulation of apoptotic process ; regulation of cell cycle ; regulation of mRNA splicing, via spliceosome ; regulation of RNA splicing ; RNA splicing ",nuclear speck ,DNA binding ; RNA binding ,
HSPC312,"microtubule cytoskeleton organization ; mitotic cytokinesis ; mRNA processing ; negative regulation of apoptotic process ; regulation of cell cycle ; regulation of mRNA splicing, via spliceosome ; regulation of RNA splicing ; RNA splicing ",nuclear speck ,DNA binding ; RNA binding ,
SORBS1,cell-matrix adhesion ; cell-substrate adhesion ; cellular response to insulin stimulus ; focal adhesion assembly ; insulin receptor signaling pathway ; positive regulation of D-glucose import ; positive regulation of glycogen biosynthetic process ; positive regulation of insulin receptor signaling pathway ; positive regulation of lipid biosynthetic process ; positive regulation of protein localization to plasma membrane ; stress fiber assembly ,adherens junction ; cell-substrate junction ; centrosome ; cytoplasm ; cytosol ; flotillin complex ; focal adhesion ; membrane raft ; nuclear matrix ; nucleus ; plasma membrane ; stress fiber ; zonula adherens ,actin binding ; cytoskeletal protein binding ; insulin receptor binding ; signaling receptor complex adaptor activity ,
KIAA0894,cell-matrix adhesion ; cell-substrate adhesion ; cellular response to insulin stimulus ; focal adhesion assembly ; insulin receptor signaling pathway ; positive regulation of D-glucose import ; positive regulation of glycogen biosynthetic process ; positive regulation of insulin receptor signaling pathway ; positive regulation of lipid biosynthetic process ; positive regulation of protein localization to plasma membrane ; stress fiber assembly ,adherens junction ; cell-substrate junction ; centrosome ; cytoplasm ; cytosol ; flotillin complex ; focal adhesion ; membrane raft ; nuclear matrix ; nucleus ; plasma membrane ; stress fiber ; zonula adherens ,actin binding ; cytoskeletal protein binding ; insulin receptor binding ; signaling receptor complex adaptor activity ,
KIAA1296,cell-matrix adhesion ; cell-substrate adhesion ; cellular response to insulin stimulus ; focal adhesion assembly ; insulin receptor signaling pathway ; positive regulation of D-glucose import ; positive regulation of glycogen biosynthetic process ; positive regulation of insulin receptor signaling pathway ; positive regulation of lipid biosynthetic process ; positive regulation of protein localization to plasma membrane ; stress fiber assembly ,adherens junction ; cell-substrate junction ; centrosome ; cytoplasm ; cytosol ; flotillin complex ; focal adhesion ; membrane raft ; nuclear matrix ; nucleus ; plasma membrane ; stress fiber ; zonula adherens ,actin binding ; cytoskeletal protein binding ; insulin receptor binding ; signaling receptor complex adaptor activity ,
SH3D5,cell-matrix adhesion ; cell-substrate adhesion ; cellular response to insulin stimulus ; focal adhesion assembly ; insulin receptor signaling pathway ; positive regulation of D-glucose import ; positive regulation of glycogen biosynthetic process ; positive regulation of insulin receptor signaling pathway ; positive regulation of lipid biosynthetic process ; positive regulation of protein localization to plasma membrane ; stress fiber assembly ,adherens junction ; cell-substrate junction ; centrosome ; cytoplasm ; cytosol ; flotillin complex ; focal adhesion ; membrane raft ; nuclear matrix ; nucleus ; plasma membrane ; stress fiber ; zonula adherens ,actin binding ; cytoskeletal protein binding ; insulin receptor binding ; signaling receptor complex adaptor activity ,
SORBS2,cell growth involved in cardiac muscle cell development ; Notch signaling pathway ,actin cytoskeleton ; apical plasma membrane ; dendrite ; focal adhesion ; lamellipodium ; neuronal cell body ; nucleus ; perinuclear region of cytoplasm ; plasma membrane ; synapse ; Z disc ,cytoskeletal anchor activity ; identical protein binding ; RNA binding ; structural constituent of cytoskeleton ; structural constituent of muscle ,
ARGBP2,cell growth involved in cardiac muscle cell development ; Notch signaling pathway ,actin cytoskeleton ; apical plasma membrane ; dendrite ; focal adhesion ; lamellipodium ; neuronal cell body ; nucleus ; perinuclear region of cytoplasm ; plasma membrane ; synapse ; Z disc ,cytoskeletal anchor activity ; identical protein binding ; RNA binding ; structural constituent of cytoskeleton ; structural constituent of muscle ,
KIAA0777,cell growth involved in cardiac muscle cell development ; Notch signaling pathway ,actin cytoskeleton ; apical plasma membrane ; dendrite ; focal adhesion ; lamellipodium ; neuronal cell body ; nucleus ; perinuclear region of cytoplasm ; plasma membrane ; synapse ; Z disc ,cytoskeletal anchor activity ; identical protein binding ; RNA binding ; structural constituent of cytoskeleton ; structural constituent of muscle ,
SORBS3,cell adhesion ; cell-substrate adhesion ; MAPK cascade ; negative regulation of transcription by RNA polymerase II ; positive regulation of cytoskeleton organization ; positive regulation of MAPK cascade ; positive regulation of stress fiber assembly ,cell-substrate junction ; cytoplasm ; cytoskeleton ; cytosol ; focal adhesion ; nucleus ,structural constituent of cytoskeleton ; vinculin binding ,
SCAM1,cell adhesion ; cell-substrate adhesion ; MAPK cascade ; negative regulation of transcription by RNA polymerase II ; positive regulation of cytoskeleton organization ; positive regulation of MAPK cascade ; positive regulation of stress fiber assembly ,cell-substrate junction ; cytoplasm ; cytoskeleton ; cytosol ; focal adhesion ; nucleus ,structural constituent of cytoskeleton ; vinculin binding ,
SORCS1,neuropeptide signaling pathway ; post-Golgi vesicle-mediated transport ,Golgi apparatus ; membrane ,neuropeptide receptor activity ,"VPS10-related sortilin family, SORCS subfamily"
SORCS,neuropeptide signaling pathway ; post-Golgi vesicle-mediated transport ,Golgi apparatus ; membrane ,neuropeptide receptor activity ,"VPS10-related sortilin family, SORCS subfamily"
SORCS2,intracellular protein transport ; long-term synaptic depression ; neuropeptide signaling pathway ,cytosol ; dendritic spine ; early endosome membrane ; intracellular membrane-bounded organelle ; membrane ; perikaryon ; postsynaptic density membrane ; recycling endosome membrane ,neuropeptide receptor activity ,"VPS10-related sortilin family, SORCS subfamily"
KIAA1329,intracellular protein transport ; long-term synaptic depression ; neuropeptide signaling pathway ,cytosol ; dendritic spine ; early endosome membrane ; intracellular membrane-bounded organelle ; membrane ; perikaryon ; postsynaptic density membrane ; recycling endosome membrane ,neuropeptide receptor activity ,"VPS10-related sortilin family, SORCS subfamily"
SORCS3,learning ; memory ; neuropeptide signaling pathway ; postsynaptic modulation of chemical synaptic transmission ; regulation of long-term synaptic depression ,glutamatergic synapse ; membrane ; postsynaptic density membrane ,neuropeptide receptor activity ,"VPS10-related sortilin family, SORCS subfamily"
KIAA1059,learning ; memory ; neuropeptide signaling pathway ; postsynaptic modulation of chemical synaptic transmission ; regulation of long-term synaptic depression ,glutamatergic synapse ; membrane ; postsynaptic density membrane ,neuropeptide receptor activity ,"VPS10-related sortilin family, SORCS subfamily"
SORD,D-glucuronate catabolic process to D-xylulose 5-phosphate ; flagellated sperm motility ; fructose biosynthetic process ; glucose metabolic process ; sorbitol catabolic process ; xylitol catabolic process ; xylitol metabolic process ,cytosol ; extracellular exosome ; extracellular space ; membrane ; mitochondrial membrane ; motile cilium ,"(R,R)-butanediol dehydrogenase activity ; carbohydrate binding ; D-sorbitol dehydrogenase (acceptor) activity ; D-xylulose reductase activity ; identical protein binding ; L-iditol 2-dehydrogenase (NAD+) activity ; NAD binding ; ribitol 2-dehydrogenase (NAD+) activity ; zinc ion binding ",Zinc-containing alcohol dehydrogenase family
SORL1,"adaptive thermogenesis ; cell migration ; diet induced thermogenesis ; endosome to plasma membrane protein transport ; insulin receptor recycling ; negative regulation of amyloid precursor protein catabolic process ; negative regulation of amyloid-beta formation ; negative regulation of BMP signaling pathway ; negative regulation of neurofibrillary tangle assembly ; negative regulation of neurogenesis ; negative regulation of protein-containing complex assembly ; negative regulation of triglyceride catabolic process ; neuropeptide signaling pathway ; positive regulation of adipose tissue development ; positive regulation of early endosome to recycling endosome transport ; positive regulation of endocytic recycling ; positive regulation of ER to Golgi vesicle-mediated transport ; positive regulation of glial cell-derived neurotrophic factor production ; positive regulation of insulin receptor signaling pathway ; positive regulation of protein catabolic process ; positive regulation of protein exit from endoplasmic reticulum ; positive regulation of protein localization to early endosome ; post-Golgi vesicle-mediated transport ; protein localization to Golgi apparatus ; protein retention in Golgi apparatus ; protein targeting ; protein targeting to lysosome ; receptor-mediated endocytosis ; regulation of smooth muscle cell migration ; retrograde transport, endosome to Golgi ",cell surface ; cytosol ; early endosome ; early endosome membrane ; endoplasmic reticulum ; endoplasmic reticulum membrane ; endosome ; endosome membrane ; extracellular exosome ; extracellular space ; Golgi apparatus ; Golgi cisterna ; Golgi membrane ; membrane ; multivesicular body ; multivesicular body membrane ; neuronal cell body ; nuclear envelope lumen ; perinucleolar compartment ; plasma membrane ; recycling endosome ; recycling endosome membrane ; trans-Golgi network ; transport vesicle membrane ,amyloid-beta binding ; aspartic-type endopeptidase inhibitor activity ; low-density lipoprotein particle binding ; low-density lipoprotein particle receptor activity ; neuropeptide binding ; protein transporter activity ; small GTPase binding ; transmembrane signaling receptor activity ,"VPS10-related sortilin family, SORL1 subfamily"
C11orf32,"adaptive thermogenesis ; cell migration ; diet induced thermogenesis ; endosome to plasma membrane protein transport ; insulin receptor recycling ; negative regulation of amyloid precursor protein catabolic process ; negative regulation of amyloid-beta formation ; negative regulation of BMP signaling pathway ; negative regulation of neurofibrillary tangle assembly ; negative regulation of neurogenesis ; negative regulation of protein-containing complex assembly ; negative regulation of triglyceride catabolic process ; neuropeptide signaling pathway ; positive regulation of adipose tissue development ; positive regulation of early endosome to recycling endosome transport ; positive regulation of endocytic recycling ; positive regulation of ER to Golgi vesicle-mediated transport ; positive regulation of glial cell-derived neurotrophic factor production ; positive regulation of insulin receptor signaling pathway ; positive regulation of protein catabolic process ; positive regulation of protein exit from endoplasmic reticulum ; positive regulation of protein localization to early endosome ; post-Golgi vesicle-mediated transport ; protein localization to Golgi apparatus ; protein retention in Golgi apparatus ; protein targeting ; protein targeting to lysosome ; receptor-mediated endocytosis ; regulation of smooth muscle cell migration ; retrograde transport, endosome to Golgi ",cell surface ; cytosol ; early endosome ; early endosome membrane ; endoplasmic reticulum ; endoplasmic reticulum membrane ; endosome ; endosome membrane ; extracellular exosome ; extracellular space ; Golgi apparatus ; Golgi cisterna ; Golgi membrane ; membrane ; multivesicular body ; multivesicular body membrane ; neuronal cell body ; nuclear envelope lumen ; perinucleolar compartment ; plasma membrane ; recycling endosome ; recycling endosome membrane ; trans-Golgi network ; transport vesicle membrane ,amyloid-beta binding ; aspartic-type endopeptidase inhibitor activity ; low-density lipoprotein particle binding ; low-density lipoprotein particle receptor activity ; neuropeptide binding ; protein transporter activity ; small GTPase binding ; transmembrane signaling receptor activity ,"VPS10-related sortilin family, SORL1 subfamily"
SORT1,D-glucose import ; endocytosis ; endosome to lysosome transport ; endosome transport via multivesicular body sorting pathway ; extrinsic apoptotic signaling pathway via death domain receptors ; G protein-coupled receptor signaling pathway ; Golgi to endosome transport ; Golgi to lysosome transport ; maintenance of synapse structure ; myotube differentiation ; negative regulation of fat cell differentiation ; neuropeptide signaling pathway ; neurotrophin TRK receptor signaling pathway ; ossification ; plasma membrane to endosome transport ; protein targeting to lysosome ; regulation of gene expression ; response to insulin ; vesicle organization ,cell surface ; cerebellar climbing fiber to Purkinje cell synapse ; clathrin-coated pit ; clathrin-coated vesicle ; cytoplasmic vesicle ; cytosol ; early endosome ; endoplasmic reticulum membrane ; endosome membrane ; Golgi apparatus ; Golgi cisterna membrane ; lysosomal membrane ; lysosome ; membrane ; nuclear membrane ; perinuclear region of cytoplasm ; plasma membrane ; trans-Golgi network transport vesicle ,"enzyme binding ; nerve growth factor binding ; nerve growth factor receptor activity ; neurotensin receptor activity, non-G protein-coupled ; retromer complex binding ","VPS10-related sortilin family, SORT1 subfamily"
SOS1,axon guidance ; B cell homeostasis ; B cell receptor signaling pathway ; blood vessel morphogenesis ; cardiac atrium morphogenesis ; cytokine-mediated signaling pathway ; epidermal growth factor receptor signaling pathway ; eyelid development in camera-type eye ; Fc-epsilon receptor signaling pathway ; fibroblast growth factor receptor signaling pathway ; hair follicle development ; heart trabecula morphogenesis ; insulin receptor signaling pathway ; insulin-like growth factor receptor signaling pathway ; leukocyte migration ; midbrain morphogenesis ; multicellular organism growth ; myelination ; neurotrophin TRK receptor signaling pathway ; pericardium morphogenesis ; positive regulation of epidermal growth factor receptor signaling pathway ; positive regulation of small GTPase mediated signal transduction ; Ras protein signal transduction ; regulation of cell population proliferation ; regulation of pro-B cell differentiation ; regulation of T cell differentiation in thymus ; regulation of T cell proliferation ; regulation of transcription by RNA polymerase II ; response to ischemia ; roof of mouth development ; Schwann cell development ; signal transduction ; T cell activation ; vitellogenesis ,cytoplasm ; cytosol ; glutamatergic synapse ; GTPase complex ; neuronal cell body ; plasma membrane ; postsynaptic density ,epidermal growth factor receptor binding ; GTPase activator activity ; guanyl-nucleotide exchange factor activity ; molecular condensate scaffold activity ; protein heterodimerization activity ; protein kinase binding ; SH3 domain binding ,
SOS2,B cell homeostasis ; insulin receptor signaling pathway ; Ras protein signal transduction ; regulation of pro-B cell differentiation ; regulation of T cell differentiation in thymus ; regulation of T cell proliferation ,cytosol ; plasma membrane ,guanyl-nucleotide exchange factor activity ; protein heterodimerization activity ,
SOSTDC1,canonical Wnt signaling pathway ; epithelial cell fate commitment ; hair follicle morphogenesis ; mammary gland bud morphogenesis ; negative regulation of BMP signaling pathway ; negative regulation of canonical Wnt signaling pathway ; negative regulation of cell fate commitment ; negative regulation of determination of dorsal identity ; negative regulation of myoblast differentiation ; negative regulation of Wnt signaling pathway ; odontogenesis of dentin-containing tooth ; pattern specification process ,extracellular space ,BMP binding ; BMP receptor activity ,Sclerostin family
USAG1,canonical Wnt signaling pathway ; epithelial cell fate commitment ; hair follicle morphogenesis ; mammary gland bud morphogenesis ; negative regulation of BMP signaling pathway ; negative regulation of canonical Wnt signaling pathway ; negative regulation of cell fate commitment ; negative regulation of determination of dorsal identity ; negative regulation of myoblast differentiation ; negative regulation of Wnt signaling pathway ; odontogenesis of dentin-containing tooth ; pattern specification process ,extracellular space ,BMP binding ; BMP receptor activity ,Sclerostin family
CDA019,canonical Wnt signaling pathway ; epithelial cell fate commitment ; hair follicle morphogenesis ; mammary gland bud morphogenesis ; negative regulation of BMP signaling pathway ; negative regulation of canonical Wnt signaling pathway ; negative regulation of cell fate commitment ; negative regulation of determination of dorsal identity ; negative regulation of myoblast differentiation ; negative regulation of Wnt signaling pathway ; odontogenesis of dentin-containing tooth ; pattern specification process ,extracellular space ,BMP binding ; BMP receptor activity ,Sclerostin family
SOST,BMP signaling pathway ; canonical Wnt signaling pathway ; cellular response to parathyroid hormone stimulus ; negative regulation of BMP signaling pathway ; negative regulation of canonical Wnt signaling pathway ; negative regulation of ossification ; negative regulation of protein-containing complex assembly ; negative regulation of Wnt signaling pathway ; ossification ; positive regulation of DNA-templated transcription ; response to mechanical stimulus ,extracellular region ; extracellular space ; Golgi apparatus ; protein-containing complex ,BMP binding ; carbohydrate binding ; DNA-binding transcription factor binding ; heparin binding ; molecular function inhibitor activity ,Sclerostin family
UNQ2976/PRO7455/PRO7476,BMP signaling pathway ; canonical Wnt signaling pathway ; cellular response to parathyroid hormone stimulus ; negative regulation of BMP signaling pathway ; negative regulation of canonical Wnt signaling pathway ; negative regulation of ossification ; negative regulation of protein-containing complex assembly ; negative regulation of Wnt signaling pathway ; ossification ; positive regulation of DNA-templated transcription ; response to mechanical stimulus ,extracellular region ; extracellular space ; Golgi apparatus ; protein-containing complex ,BMP binding ; carbohydrate binding ; DNA-binding transcription factor binding ; heparin binding ; molecular function inhibitor activity ,Sclerostin family
SOWAHA,,,,SOWAH family
ANKRD43,,,,SOWAH family
SOWAHB,,,,SOWAH family
ANKRD56,,,,SOWAH family
SOWAHC,,,,SOWAH family
ANKRD57,,,,SOWAH family
C2orf26,,,,SOWAH family
SOWAHD,,,,SOWAH family
ANKRD58,,,,SOWAH family
SOX10,anatomical structure morphogenesis ; cell maturation ; cellular response to progesterone stimulus ; cellular response to xenobiotic stimulus ; central nervous system myelination ; developmental growth ; digestive tract morphogenesis ; enteric nervous system development ; in utero embryonic development ; lacrimal gland development ; melanocyte differentiation ; morphogenesis of a branching epithelium ; morphogenesis of an epithelium ; negative regulation of apoptotic process ; negative regulation of canonical Wnt signaling pathway ; negative regulation of Schwann cell proliferation ; negative regulation of transcription by RNA polymerase II ; neural crest cell migration ; neuroblast proliferation ; oligodendrocyte development ; oligodendrocyte differentiation ; peripheral nervous system development ; positive regulation of DNA-templated transcription ; positive regulation of gene expression ; positive regulation of gliogenesis ; positive regulation of myelination ; positive regulation of neuroblast proliferation ; regulation of transcription by RNA polymerase II ; transcription elongation by RNA polymerase II ,chromatin ; mitochondrial outer membrane ; nucleoplasm ; nucleus ,"DNA binding ; DNA-binding transcription activator activity ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription factor binding ; identical protein binding ; promoter-specific chromatin binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ; transcription cis-regulatory region binding ",
SOX11,brain development ; camera-type eye morphogenesis ; closure of optic fissure ; cornea development in camera-type eye ; embryonic digestive tract morphogenesis ; embryonic skeletal system morphogenesis ; eyelid development in camera-type eye ; glial cell proliferation ; hard palate development ; kidney development ; lens morphogenesis in camera-type eye ; lung morphogenesis ; negative regulation of gene expression ; negative regulation of glial cell proliferation ; negative regulation of lymphocyte proliferation ; negative regulation of transcription by RNA polymerase II ; negative regulation of transcription regulatory region DNA binding ; nervous system development ; neuroepithelial cell differentiation ; neuron differentiation ; noradrenergic neuron differentiation ; oligodendrocyte development ; outflow tract morphogenesis ; positive regulation of BMP signaling pathway ; positive regulation of gene expression ; positive regulation of hippo signaling ; positive regulation of hormone secretion ; positive regulation of lens epithelial cell proliferation ; positive regulation of neurogenesis ; positive regulation of neuron differentiation ; positive regulation of ossification ; positive regulation of osteoblast differentiation ; positive regulation of stem cell proliferation ; positive regulation of transcription by RNA polymerase II ; regulation of transforming growth factor beta receptor signaling pathway ; skeletal muscle cell differentiation ; soft palate development ; spinal cord development ; sympathetic nervous system development ; ventricular septum morphogenesis ,chromatin ; nucleoplasm ; nucleus ; plasma membrane ,"DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; transcription cis-regulatory region binding ",
SOX12,brain development ; camera-type eye morphogenesis ; negative regulation of transcription by RNA polymerase II ; neuron differentiation ; positive regulation of regulatory T cell differentiation ; positive regulation of transcription by RNA polymerase II ; spinal cord development ,chromatin ; nucleoplasm ; nucleus ; protein-DNA complex ,"DNA binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ; transcription cis-regulatory region binding ",
SOX22,brain development ; camera-type eye morphogenesis ; negative regulation of transcription by RNA polymerase II ; neuron differentiation ; positive regulation of regulatory T cell differentiation ; positive regulation of transcription by RNA polymerase II ; spinal cord development ,chromatin ; nucleoplasm ; nucleus ; protein-DNA complex ,"DNA binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ; transcription cis-regulatory region binding ",
SOX13,anatomical structure morphogenesis ; cell fate commitment ; gamma-delta T cell differentiation ; negative regulation of canonical Wnt signaling pathway ; negative regulation of DNA-templated transcription ; negative regulation of transcription by RNA polymerase II ; positive regulation of brown fat cell differentiation ; positive regulation of gamma-delta T cell differentiation ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ; spinal cord oligodendrocyte cell differentiation ,chromatin ; cytoplasm ; nucleoplasm ; nucleus ,"DNA binding ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; DNA-binding transcription repressor activity ; DNA-binding transcription repressor activity, RNA polymerase II-specific ; identical protein binding ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific DNA binding ; transcription cis-regulatory region binding ",
SOX14,brain development ; entrainment of circadian clock ; negative regulation of DNA-templated transcription ; negative regulation of transcription by RNA polymerase II ; nervous system development ; neuron differentiation ; positive regulation of transcription by RNA polymerase II ; regulation of neuron migration ; visual perception ,chromatin ; nucleus ; transcription regulator complex ,"chromatin binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",
SOX28,brain development ; entrainment of circadian clock ; negative regulation of DNA-templated transcription ; negative regulation of transcription by RNA polymerase II ; nervous system development ; neuron differentiation ; positive regulation of transcription by RNA polymerase II ; regulation of neuron migration ; visual perception ,chromatin ; nucleus ; transcription regulator complex ,"chromatin binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ",
